company,category,hq,role_focus,role_url,priority,recruiter_name,recruiter_contact,engineer_name,engineer_linkedin,template_used,applied_date,status,follow_up_date,notes,last_contact
Jump Trading,eu_prop,"Chicago / Remote",Software Engineer,https://jumptrading.com/careers,C,,,,,eu_prop,,to_apply,,Long shot.,
Two Sigma,eu_prop,"NY / Remote",Software Engineer,https://twosigma.com/careers,C,,,,,eu_prop,,to_apply,,Long shot. Hiring software eng less credential-gated than research.,
Citadel Securities,eu_prop,"NY / Chicago",Software Engineer,https://citadelsecurities.com/careers,C,,,,,eu_prop,,to_apply,,Long shot. Visa-restrictive.,
Ecobank,africa_treasury,"Lomé, Togo",FX Treasury Analyst,https://ecobank.com/careers,A,,,,,africa_treasury,,to_apply,,Pan-African bank HQ'd in your previous country. EN/FR.,
Bank of Africa (BOA Group),africa_treasury,"Casablanca, Morocco",Treasury Specialist,https://boagroup.com/careers,A,,,,,africa_treasury,,to_apply,,FR-language. Pan-African.,
Citi Africa,africa_treasury,"Lagos / Johannesburg",Treasury Analyst,https://citigroup.com/careers,A,,,,,africa_treasury,,to_apply,,Citi's African ops. Big employer.,
Standard Chartered Africa,africa_treasury,"London / Africa offices",Treasury Analyst,https://sc.com/careers,A,,,,,africa_treasury,,to_apply,,UK-listed with deep Africa coverage.,
Société Générale Africa,africa_treasury,"Paris / Africa",Treasury Analyst,https://societegenerale.com/careers,A,,,,,africa_treasury,,to_apply,,French + Africa. Perfect language match.,
BPCE / Natixis Africa,africa_treasury,"Paris / Africa",FX Trader,https://groupebpce.com/careers,A,,,,,africa_treasury,,to_apply,,French banking group.,
BNP Paribas Africa,africa_treasury,"Paris / Africa",Treasury Analyst,https://bnpparibas.com/careers,A,,,,,africa_treasury,,to_apply,,French bank with Africa presence.,
Crédit Agricole CIB,africa_treasury,"Paris",FX Analyst,https://ca-cib.com/careers,B,,,,,africa_treasury,,to_apply,,Paris-based CIB.,
African Development Bank,africa_treasury,"Abidjan, Ivory Coast",Treasury Officer,https://afdb.org/careers,A,,,,,africa_treasury,,to_apply,,AfDB. Côte d'Ivoire match.,
Afreximbank,africa_treasury,"Cairo, Egypt",Treasury Analyst,https://afreximbank.com/careers,B,,,,,africa_treasury,,to_apply,,African export-import bank.,
West African Development Bank (BOAD),africa_treasury,"Lomé, Togo",Treasury Officer,https://boad.org/careers,A,,,,,africa_treasury,,to_apply,,HQ'd in Lomé. Strong match.,
BCEAO (West African Central Bank),africa_treasury,"Dakar, Senegal",Reserve Mgmt Analyst,https://bceao.int/careers,A,,,,,africa_treasury,,to_apply,,You worked WITH BCEAO at Africa Lease. Now apply directly.,
TradingView,fintech_generalist,"Remote",Software Engineer,https://tradingview.com/careers,A,,,,,fintech_generalist,,to_apply,,Listed earlier; counts in both categories.,
Alpaca,fintech_generalist,"San Francisco / Remote",Backend Engineer,https://alpaca.markets/careers,A,,,,,fintech_generalist,,to_apply,,Commission-free broker API. Open-source-friendly.,
Tradier,fintech_generalist,"Charlotte NC / Remote",Backend Engineer,https://tradier.com/careers,B,,,,,fintech_generalist,,to_apply,,Trading API.,
IEX Cloud (now Cybertrade),fintech_generalist,"NY",Data Engineer,https://iexcloud.io/careers,B,,,,,fintech_generalist,,to_apply,,Market data API.,
Polygon.io,fintech_generalist,"Remote",Backend Engineer,https://polygon.io/careers,A,,,,,fintech_generalist,,to_apply,,Stock market data API. Remote.,
Databento,fintech_generalist,"Remote",Backend Engineer,https://databento.com/careers,A,,,,,fintech_generalist,,to_apply,,Market data. Nautilus already supports them — your bridge is adjacent.,
Plaid,fintech_generalist,"SF / Remote",Backend Engineer,https://plaid.com/careers,B,,,,,fintech_generalist,,to_apply,,Financial data API. Visa-restrictive (US).,
Stripe,fintech_generalist,"SF / Remote",Backend Engineer,https://stripe.com/careers,B,,,,,fintech_generalist,,to_apply,,Payments. Less FX-specific but financial domain.,
Mercury,fintech_generalist,"SF / Remote",Backend Engineer,https://mercury.com/careers,B,,,,,fintech_generalist,,to_apply,,Startup banking.,
Brex,fintech_generalist,"SF / Remote",Backend Engineer,https://brex.com/careers,B,,,,,fintech_generalist,,to_apply,,B2B fintech.,
Anchorage Digital,fintech_generalist,"SF / Remote",Backend Engineer,https://anchorage.com/careers,B,,,,,fintech_generalist,,to_apply,,Crypto custody. Regulated.,
Robinhood,fintech_generalist,"Menlo Park / Remote",Backend Engineer,https://robinhood.com/careers,B,,,,,fintech_generalist,,to_apply,,Retail brokerage. US-only mostly.,
eToro,fintech_generalist,"Tel Aviv / London",Backend Engineer,https://etoro.com/careers,B,,,,,fintech_generalist,,to_apply,,Multi-asset trading.,
Revolut,fintech_generalist,"London / Remote",Backend Engineer,https://revolut.com/careers,B,,,,,fintech_generalist,,to_apply,,Neobank. FX features.,
Wise (TransferWise),fintech_generalist,"London / Remote",Backend Engineer,https://wise.com/careers,B,,,,,fintech_generalist,,to_apply,,Cross-border FX. Strong domain match.,
N26,fintech_generalist,"Berlin / Remote",Backend Engineer,https://n26.com/careers,B,,,,,fintech_generalist,,to_apply,,EU neobank.,
Klarna,fintech_generalist,"Stockholm / Remote",Backend Engineer,https://klarna.com/careers,B,,,,,fintech_generalist,,to_apply,,Payments. Less FX.,
ION Group,fintech_generalist,"London / Remote",Trading Systems Engineer,https://iongroup.com/careers,A,,,,,fintech_generalist,,to_apply,,Trading tech for banks. FX systems.,
Murex,fintech_generalist,"Paris / Remote",Software Engineer,https://murex.com/careers,A,,,,,fintech_generalist,,to_apply,,Trading platform for institutions. FR + EN.,
Finastra,fintech_generalist,"London / Remote",Software Engineer,https://finastra.com/careers,B,,,,,fintech_generalist,,to_apply,,Financial software.,
Calastone,fintech_generalist,"London / Remote",Software Engineer,https://calastone.com/careers,B,,,,,fintech_generalist,,to_apply,,Fund transactions.,
Trading Technologies,fintech_generalist,"Chicago / Remote",Software Engineer,https://tradingtechnologies.com/careers,A,,,,,fintech_generalist,,to_apply,,Futures trading platform.,
QuantConnect,fintech_generalist,"Seattle / Remote",Quant Developer,https://quantconnect.com/careers,A,,,,,fintech_generalist,,to_apply,,Algo trading platform. Open-source-friendly.,
Numerai,fintech_generalist,"SF / Remote",Software Engineer,https://numer.ai/careers,B,,,,,fintech_generalist,,to_apply,,Crypto-incentivized hedge fund.,
WorldQuant,fintech_generalist,"NY / Remote",Software Engineer,https://worldquant.com/careers,C,,,,,fintech_generalist,,to_apply,,Quant fund. Long shot.,
AQR Capital,fintech_generalist,"Greenwich CT",Software Engineer,https://aqr.com/careers,C,,,,,fintech_generalist,,to_apply,,Quant fund.,
Bridgewater,fintech_generalist,"Westport CT",Software Engineer,https://bridgewater.com/careers,C,,,,,fintech_generalist,,to_apply,,Long shot.,
Susquehanna (SIG),fintech_generalist,"Bala Cynwyd PA",Software Engineer,https://sig.com/careers,C,,,,,fintech_generalist,,to_apply,,Long shot.,
Tower Research Capital,fintech_generalist,"NY / Remote",Software Engineer,https://tower-research.com/careers,C,,,,,fintech_generalist,,to_apply,,High bar.,
Belvedere Trading,fintech_generalist,"Chicago",Software Engineer,https://belvederetrading.com/careers,C,,,,,fintech_generalist,,to_apply,,Options market maker.,
PEAK6 Investments,fintech_generalist,"Chicago",Software Engineer,https://peak6.com/careers,C,,,,,fintech_generalist,,to_apply,,Options prop.,
Wolverine Trading,fintech_generalist,"Chicago",Software Engineer,https://wolve.com/careers,C,,,,,fintech_generalist,,to_apply,,Options MM.,
Akuna Capital,fintech_generalist,"Chicago / Sydney",Software Engineer,https://akunacapital.com/careers,C,,,,,fintech_generalist,,to_apply,,Options prop. Sydney office.,
Maven Securities,fintech_generalist,"London / Remote",Software Engineer,https://mavensecurities.com/careers,B,,,,,fintech_generalist,,to_apply,,UK prop.,
GH Financials,fintech_generalist,"London",Software Engineer,https://ghfinancials.co.uk/careers,B,,,,,fintech_generalist,,to_apply,,UK clearing/prop.,
Sun Trading,fintech_generalist,"Chicago",Software Engineer,https://suntradingllc.com/careers,B,,,,,fintech_generalist,,to_apply,,Quant prop.,
Tibra Capital,fintech_generalist,"Sydney / London",Software Engineer,https://tibra.com/careers,B,,,,,fintech_generalist,,to_apply,,Aus-UK prop.,
Aquatic Capital,fintech_generalist,"NY",Quant Developer,https://aquatic.com/careers,C,,,,,fintech_generalist,,to_apply,,Newer quant fund.,
Headlands Technologies,fintech_generalist,"Chicago",Software Engineer,https://headlandstech.com/careers,C,,,,,fintech_generalist,,to_apply,,Options MM.,
Old Mission Capital,fintech_generalist,"Chicago",Software Engineer,https://omcap.com/careers,C,,,,,fintech_generalist,,to_apply,,Options MM.,
XTX Markets,fintech_generalist,"London",Software Engineer,https://xtxmarkets.com/careers,C,,,,,fintech_generalist,,to_apply,,Top FX MM. Long shot.,
G-Research,fintech_generalist,"London",Software Engineer,https://gresearch.co.uk/careers,C,,,,,fintech_generalist,,to_apply,,Top quant. Long shot.,
Vivienne Court,fintech_generalist,"Sydney / Singapore",Software Engineer,https://viviennecourt.com/careers,B,,,,,fintech_generalist,,to_apply,,APAC prop.,
Maven11,fintech_generalist,"Amsterdam",Software Engineer,https://maven11.com/careers,B,,,,,fintech_generalist,,to_apply,,Crypto VC + trading.,
Nansen,fintech_generalist,"Singapore / Remote",Backend Engineer,https://nansen.ai/careers,B,,,,,fintech_generalist,,to_apply,,Crypto analytics.,
Chainalysis,fintech_generalist,"NY / Remote",Backend Engineer,https://chainalysis.com/careers,B,,,,,fintech_generalist,,to_apply,,Crypto compliance/analytics.,
